ExperimentControl	305	"StartTime = Jul 31, 2007 14:47:41.015"	"EndTime = Jul 31, 2007 14:48:49.046"	OperationCode = D1_B1_L1	OperationMode = 34	TestArticleName = HyDE	"Comments = ""Testing runs for HyDE for FY2007 IVHM Milestone (redo of 302 with HyDE History=5)"""	FaultType = discrete	FaultMode = sw pos	FaultLocation = ESH175	FaultInjection = software	LoadLocation = 174	LoadName = PMP2	LoadSchedule = none	LoadLocation = 175	LoadName = LGT4	LoadSchedule = none																																																																	
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2007-07-31 14:47:41.486 GMT-07:00	25.84573174	25.8310833	0.014648661	0.014648661	0.14648661	0.073243305	0.014648661	25.21583939	25.21583939	0.029297322	0.249027237	0.29297322	0.219729915	0.234378576	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.045370823	-27.22468733	17.4888643	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.30304718	70.93751526	72.1776123	71.86038208	71.08171082	66.58274078	69.58205414	67.7363205	67.13069153	67.62096405	67.18836975	78.17623901	66.380867
AntagonistData	2007-07-31 14:47:41.986 GMT-07:00	25.8310833	25.84573174	0.014648661	0.014648661	0.073243305	0.073243305	0	25.21583939	25.23048782	0	0.249027237	0.219729915	0.14648661	0.234378576	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-26.90524376	17.61169687	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.30304718	70.93751526	72.20645142	71.88922119	71.0528717	66.58274078	69.61089325	67.67864227	67.13069153	67.62096405	67.18836975	78.11856079	66.380867
AntagonistData	2007-07-31 14:47:42.486 GMT-07:00	25.8310833	25.84573174	0.014648661	0.014648661	0.073243305	0.073243305	0	25.21583939	25.23048782	0.029297322	0.249027237	0.219729915	0.14648661	0.234378576	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	0.008207792	0.004297693	-0.045370823	-26.88301817	17.78818648	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.93751526	72.20645142	71.88922119	71.0528717	66.58274078	69.61089325	67.67864227	67.04417419	67.59212494	67.30373383	78.11856079	66.58274078
AntagonistData	2007-07-31 14:47:42.986 GMT-07:00	25.84573174	25.8310833	0	0.014648661	0.073243305	0.073243305	0	25.21583939	25.23048782	0	0.249027237	0.29297322	0.219729915	0.234378576	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	0.008207792	0.012117892	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	-27.17944707	17.72085214	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.93751526	72.20645142	71.88922119	71.08171082	66.58274078	69.63973236	67.7363205	67.04417419	67.59212494	67.30373383	78.03204346	66.58274078
AntagonistData	2007-07-31 14:47:43.486 GMT-07:00	25.8310833	25.84573174	0.014648661	0.014648661	0.073243305	0.073243305	0	25.23048782	25.23048782	0.014648661	0.234378576	0.219729915	0.14648661	0.234378576	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.016027992	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-26.78004398	17.74097354	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.30304718	70.93751526	72.20645142	71.88922119	71.08171082	66.58274078	69.63973236	67.7363205	67.10185242	67.59212494	67.27489471	78.03204346	66.66925812
AntagonistData	2007-07-31 14:47:43.986 GMT-07:00	25.8310833	25.8310833	0	0.014648661	0.14648661	0.073243305	0.014648661	25.21583939	25.23048782	0	0.234378576	0.219729915	0.219729915	0.234378576	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.061011221	-27.0278133	17.9010241	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.27420807	70.93751526	72.23529053	71.86038208	71.08171082	66.6115799	69.61089325	67.70748138	67.10185242	67.59212494	67.27489471	78.03204346	66.66925812
AntagonistData	2007-07-31 14:47:44.486 GMT-07:00	25.8310833	25.8310833	0	0.014648661	0.073243305	0.073243305	0	25.21583939	25.24513626	0.029297322	0.234378576	0.219729915	0.14648661	0.219729915	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-26.88078246	17.90233923	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.27420807	70.93751526	72.23529053	71.86038208	71.08171082	66.6115799	69.61089325	67.70748138	67.07301331	67.56328583	67.24604797	77.97436523	66.43854523
AntagonistData	2007-07-31 14:47:44.986 GMT-07:00	25.84573174	25.8310833	0	0	0.073243305	0.073243305	0.014648661	25.23048782	25.23048782	0.014648661	0.249027237	0.219729915	0.14648661	0.219729915	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-26.96271467	17.841449	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.27420807	70.93751526	72.20645142	71.86038208	71.08171082	66.64041901	69.61089325	67.70748138	67.07301331	67.56328583	67.24604797	77.97436523	66.43854523
AntagonistData	2007-07-31 14:47:45.486 GMT-07:00	25.86038017	25.84573174	0	0.014648661	0.073243305	0.073243305	0.014648661	25.23048782	25.24513626	0	0.249027237	0.219729915	0.219729915	0.234378576	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-26.98362514	17.9307459	0.219729915	0.219729915	0	0	71.86038208	69.87045288	70.27420807	70.93751526	72.20645142	71.86038208	71.0528717	66.64041901	69.61089325	67.70748138	67.01533508	67.62096405	67.30373383	77.91668701	66.6115799
AntagonistData	2007-07-31 14:47:45.986 GMT-07:00	25.8310833	25.8310833	0.014648661	0.014648661	0.073243305	0.14648661	0.014648661	25.21583939	25.23048782	0.029297322	0.249027237	0.29297322	0.14648661	0.234378576	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.014090026	-27.02334188	17.76267308	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.87983704	72.20645142	71.86038208	71.0528717	66.52506256	69.66857147	67.70748138	67.01533508	67.62096405	67.30373383	77.91668701	66.6115799
