ExperimentControl	306	"StartTime = Jul 31, 2007 14:51:51.687"	"EndTime = Jul 31, 2007 14:54:36.299"	OperationCode = D1_B2_L2	OperationMode = 37	TestArticleName = HyDE	"Comments = ""Testing runs for HyDE for FY2007 IVHM Milestone (HyDE History=5)"""	FaultType = discrete	FaultMode = failed open	FaultLocation = ISH262	FaultInjection = manual	LoadLocation = 270	LoadName = PMP1	LoadSchedule = none	LoadLocation = 271	LoadName = LGT2	LoadSchedule = none	LoadLocation = 272	LoadName = FAN4	LoadSchedule = none	LoadLocation = 273	LoadName = LGT9	LoadSchedule = none																																																											
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2007-07-31 14:51:52.019 GMT-07:00	25.71389389	25.71389389	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.2597847	0	0.043945983	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	-37.42465601	14.86124695	0.219729915	0.439459831	0	0	71.9180603	69.9281311	70.33188629	70.93751526	72.20645142	71.88922119	71.0528717	66.46738434	69.4955368	67.64980316	67.01533508	67.56328583	67.15953064	71.39894867	81.52162933
AntagonistData	2007-07-31 14:51:52.519 GMT-07:00	25.71389389	25.74319077	0	0.014648661	0.14648661	0.073243305	0.014648661	25.2597847	25.2597847	0.029297322	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	-37.63783758	14.6801544	0.219729915	0.439459831	0	0	71.9180603	69.9281311	70.33188629	70.93751526	72.20645142	71.86038208	71.0528717	66.46738434	69.52437592	67.59212494	67.01533508	67.56328583	67.15953064	71.31243134	81.52162933
AntagonistData	2007-07-31 14:51:53.019 GMT-07:00	25.71389389	25.72854233	0	0.029297322	0.14648661	0.073243305	0	25.2597847	25.24513626	0.029297322	0.043945983	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	0.008207792	0.008207792	-0.045370823	-37.60877335	14.93160608	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.93751526	72.20645142	71.86038208	71.0528717	66.46738434	69.52437592	67.59212494	67.07301331	67.53444672	67.15953064	71.31243134	81.52162933
AntagonistData	2007-07-31 14:51:53.519 GMT-07:00	25.71389389	25.71389389	0.014648661	0.014648661	0.073243305	0.073243305	0	25.2597847	25.2597847	0.029297322	0.043945983	0.219729915	0.219729915	0.043945983	24.23437881	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-37.39624934	15.09191967	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.90867615	72.23529053	71.9180603	71.0528717	66.52506256	69.55321503	67.64980316	67.07301331	67.53444672	67.15953064	71.28359222	81.52162933
AntagonistData	2007-07-31 14:51:54.019 GMT-07:00	25.72854233	25.72854233	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.27443314	0.014648661	0.043945983	0.29297322	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	-0.003522506	-0.045370823	-37.344828	15.0593046	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.30304718	70.90867615	72.23529053	71.9180603	71.0528717	66.52506256	69.55321503	67.64980316	67.13069153	67.47676849	67.18836975	71.28359222	81.17555237
AntagonistData	2007-07-31 14:51:54.519 GMT-07:00	25.71389389	25.72854233	0	0.029297322	0.073243305	0.14648661	0.014648661	25.2597847	25.2597847	0	0.029297322	0.219729915	0.14648661	0.043945983	24.23437881	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.014090026	-37.17938543	15.08258229	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.30304718	70.93751526	72.20645142	71.88922119	71.0528717	66.46738434	69.52437592	67.64980316	67.13069153	67.47676849	67.18836975	71.34127045	81.17555237
AntagonistData	2007-07-31 14:51:55.019 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.14648661	0.073243305	0	25.2597847	25.27443314	0	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	-37.1334876	15.20528334	0.439459831	0.219729915	0	0	71.88922119	69.9281311	70.30304718	70.93751526	72.20645142	71.88922119	71.0528717	66.46738434	69.52437592	67.64980316	66.89997864	67.41909027	67.18836975	71.34127045	81.66582489
AntagonistData	2007-07-31 14:51:55.519 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.14648661	0.14648661	0.014648661	25.2597847	25.27443314	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-37.23080677	15.13729144	0.219729915	0.439459831	0	0	71.88922119	69.9281311	70.27420807	70.90867615	72.1776123	71.86038208	71.0528717	66.58274078	69.52437592	67.62096405	66.89997864	67.41909027	67.18836975	71.34127045	81.66582489
AntagonistData	2007-07-31 14:51:56.019 GMT-07:00	25.71389389	25.72854233	0	0.029297322	0.14648661	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.29297322	0.219729915	0.029297322	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-37.56077133	14.51826267	0.219729915	0.439459831	0	0	71.86038208	69.89929199	70.27420807	70.90867615	72.1776123	71.86038208	71.0528717	66.58274078	69.52437592	67.62096405	66.95765686	67.56328583	67.24604797	71.34127045	81.0025177
