ExperimentControl	310	"StartTime = Jul 31, 2007 16:06:06.879"	"EndTime = Jul 31, 2007 16:07:31.894"	OperationCode = D1_B1_L1	OperationMode = 34	TestArticleName = HyDE	"Comments = ""Testing runs for HyDE for FY2007 IVHM Milestone (HyDE History=5)"""	FaultType = discrete	FaultMode = failed off	FaultLocation = INV1	FaultInjection = manual	LoadLocation = 170	LoadName = LGT6	LoadSchedule = none	LoadLocation = 171	LoadName = FAN1	LoadSchedule = none	LoadLocation = 172	LoadName = FAN3	LoadSchedule = none	LoadLocation = 173	LoadName = LGT8	LoadSchedule = none																																																											
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2007-07-31 16:06:07.186 GMT-07:00	25.47951508	25.49416351	0	0.410162508	0.073243305	0.14648661	0.424811184	25.2597847	25.2597847	0.043945983	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	15.64190444	16.82656796	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.85099792	72.14877319	71.80270386	70.90867615	82.18493652	79.96429443	76.56122589	67.10185242	67.56328583	67.18836975	69.35134125	66.6115799
AntagonistData	2007-07-31 16:06:07.686 GMT-07:00	25.46486664	25.49416351	0	0.395513862	0.073243305	0.073243305	0.395513862	25.24513626	25.2597847	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.014090026	15.28629496	17.14272372	0.219729915	0.219729915	0	0	71.88922119	69.84161377	70.30304718	70.85099792	72.14877319	71.80270386	70.96635437	82.18493652	79.96429443	76.50354767	67.10185242	67.56328583	67.18836975	69.35134125	66.49622345
AntagonistData	2007-07-31 16:06:08.186 GMT-07:00	25.47951508	25.50881195	0	0.36621654	0.073243305	0.14648661	0.380865186	25.2597847	25.27443314	0.029297322	0	0.29297322	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.014090026	15.97344715	17.94323958	0.439459831	0.439459831	0	0	71.88922119	69.87045288	70.27420807	70.85099792	72.14877319	71.80270386	70.96635437	82.09841919	79.96429443	76.50354767	67.10185242	67.56328583	67.21720886	69.35134125	66.49622345
AntagonistData	2007-07-31 16:06:08.686 GMT-07:00	25.47951508	25.47951508	0	0.351567864	0.14648661	0.14648661	0.351567864	25.2597847	25.2597847	0	0.014648661	0.219729915	0.219729915	0.014648661	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	16.11784774	17.80265284	0.219729915	0.219729915	0	0	71.88922119	69.87045288	70.27420807	70.85099792	72.09109497	71.77386475	70.96635437	82.09841919	79.93545532	76.41703033	67.07301331	67.56328583	67.21720886	69.32250214	66.40970612
AntagonistData	2007-07-31 16:06:09.187 GMT-07:00	25.47951508	25.49416351	0	0.322270542	0.073243305	0.073243305	0.336919218	25.2597847	25.2597847	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	15.67885942	17.50990629	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.33188629	70.85099792	72.09109497	71.77386475	70.96635437	82.01190186	79.93545532	76.41703033	67.07301331	67.56328583	67.27489471	69.32250214	66.40970612
AntagonistData	2007-07-31 16:06:09.687 GMT-07:00	25.49416351	25.49416351	0.029297322	0.307621896	0.073243305	0.073243305	0.322270542	25.2597847	25.2597847	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	15.78998738	17.48952187	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.33188629	70.85099792	72.14877319	71.80270386	70.96635437	82.01190186	79.93545532	76.35935211	67.01533508	67.56328583	67.27489471	69.32250214	66.40970612
AntagonistData	2007-07-31 16:06:10.187 GMT-07:00	25.47951508	25.49416351	0.014648661	0.29297322	0.073243305	0.073243305	0.29297322	25.2597847	25.2597847	0.029297322	0.014648661	0.219729915	0.14648661	0.014648661	24.23437881	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.007432606	0.012117892	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	15.63059438	17.65522747	0.219729915	0.219729915	0	0	71.88922119	69.87045288	70.30304718	70.85099792	72.14877319	71.80270386	70.96635437	82.01190186	79.93545532	76.35935211	67.01533508	67.59212494	67.21720886	69.32250214	66.40970612
AntagonistData	2007-07-31 16:06:10.687 GMT-07:00	25.47951508	25.49416351	0.014648661	0.278324574	0.073243305	0.073243305	0.278324574	25.2597847	25.2597847	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	-0.003522506	-0.014090026	15.61441835	17.42337114	0.439459831	0.439459831	0	0	71.88922119	69.87045288	70.30304718	70.85099792	72.14877319	71.77386475	70.93751526	81.89654541	79.82009888	76.38819122	67.01533508	67.59212494	67.21720886	69.35134125	66.40970612
AntagonistData	2007-07-31 16:06:11.187 GMT-07:00	25.49416351	25.49416351	0	0.263675898	0.073243305	0.14648661	0.263675898	25.2597847	25.2597847	0.014648661	0	0.219729915	0.219729915	0.029297322	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	15.74777191	17.60788301	0.439459831	0.439459831	0	0	71.9180603	69.87045288	70.27420807	70.85099792	72.14877319	71.77386475	70.93751526	81.89654541	79.82009888	76.38819122	67.13069153	67.56328583	67.27489471	69.35134125	66.29434967
AntagonistData	2007-07-31 16:06:11.687 GMT-07:00	25.49416351	25.50881195	0	0.249027237	0.073243305	0.14648661	0.249027237	25.2597847	25.2597847	0	0	0.219729915	0.14648661	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	15.5639176	17.46098368	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.27420807	70.85099792	72.09109497	71.77386475	70.90867615	81.78118896	79.82009888	76.35935211	67.13069153	67.56328583	67.27489471	69.35134125	66.29434967
