ExperimentControl	441	"StartTime = Mar 21, 2008 14:54:30.679"	"EndTime = Mar 21, 2008 14:56:02.304"	OperationCode = D1B1L1	OperationMode = 34	TestArticleName = none	"Comments = ""Bat1->Load Bank 1, loads A-D. 3 Simultaneous faults."""	FaultType = abrupt	FaultMode = op/cl/stuck0	FaultLocation = EY160/EY173/ST515	FaultInjection = software																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-21 14:54:31.344 GMT-07:00	25.31838036	25.31838036	0	0.014648661	0.073243305	0.073243305	0	25.71389389	25.69924545	0.029297322	0.014648661	0.219729915	0.219729915	0	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	3.88E-04	0.004297693	-0.045370823	11.48729684	13.99497491	0.219729915	0.439459831	0	0	72.63904572	71.0528717	72.09109497	72.43717194	73.64842987	73.07164001	71.83154297	70.39165701	70.44064153	69.44421291	71.21892486	70.17923848	70.50200405	72.30309542	68.34195709
AntagonistData	2008-03-21 14:54:31.844 GMT-07:00	25.31838036	25.31838036	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.71389389	25.69924545	0.014648661	0.014648661	0.29297322	0.219729915	0	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.41633431	14.12677868	0.219729915	0.439459831	0	0	72.63904572	71.0528717	72.06225586	72.46601105	73.64842987	73.07164001	71.83154297	70.36143561	70.47079138	69.38489749	71.21941714	70.18049509	70.50528924	72.30083419	68.34195709
AntagonistData	2008-03-21 14:54:32.344 GMT-07:00	25.31838036	25.31838036	0	0.014648661	0.073243305	0.073243305	0	25.71389389	25.69924545	0.014648661	0	0.219729915	0.219729915	0.014648661	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.045370823	-0.014090026	3.88E-04	0.004297693	-0.045370823	11.43442887	13.84452474	0.219729915	0.439459831	0	0	72.63904572	70.99519348	72.06225586	72.46601105	73.64842987	73.07164001	71.83154297	70.36143561	70.47079138	69.38489749	71.21168316	70.1853616	70.50062168	72.30323141	68.65918732
AntagonistData	2008-03-21 14:54:32.844 GMT-07:00	25.31838036	25.31838036	0	0	0.073243305	0.073243305	0.014648661	25.71389389	25.69924545	0.014648661	0	0.219729915	0.219729915	0.014648661	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.547398	14.13977004	0.219729915	0.439459831	0	0	72.63904572	70.99519348	72.09109497	72.43717194	73.64842987	73.07164001	71.83154297	70.45209981	70.44064153	69.4145552	71.21313561	70.18352358	70.50669531	72.30116853	68.65918732
AntagonistData	2008-03-21 14:54:33.344 GMT-07:00	25.31838036	25.31838036	0	0.014648661	0.073243305	0.073243305	0.014648661	25.71389389	25.69924545	0.014648661	0	0.219729915	0.219729915	0	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.4698057	13.93250652	0.219729915	0.439459831	0	0	72.63904572	70.99519348	72.09109497	72.43717194	73.64842987	73.07164001	71.83154297	70.45209981	70.44064153	69.4145552	71.2146832	70.18532426	70.50735941	72.30575957	68.42847443
AntagonistData	2008-03-21 14:54:33.844 GMT-07:00	25.31838036	25.30373001	0.029297322	0.014648661	0.073243305	0.073243305	0	25.71389389	25.69924545	0.014648661	0.014648661	0.29297322	0.219729915	0	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	3.88E-04	-0.003522506	-0.045370823	11.5909286	14.02877359	0.219729915	0.439459831	0	0	72.63904572	71.02403259	72.06225586	72.43717194	73.61959076	73.07164001	71.83154297	70.39165701	70.47079138	69.44421291	71.21349947	70.18873703	70.50363999	72.30876569	68.42847443
AntagonistData	2008-03-21 14:54:34.344 GMT-07:00	25.31838036	25.34767723	0	0.014648661	0.073243305	0.14648661	0.014648661	25.71389389	25.69924545	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.51741318	14.28193492	0.219729915	0.439459831	0	0	72.6102066	71.02403259	72.06225586	72.43717194	73.61959076	73.07164001	71.83154297	70.39165701	70.47079138	69.44421291	71.21532081	70.18177722	70.50831859	72.30628356	68.25543976
AntagonistData	2008-03-21 14:54:34.844 GMT-07:00	25.31838036	25.34767723	0	0.014648661	0.073243305	0.073243305	0	25.71389389	25.69924545	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.67654316	14.14200575	0	0.439459831	0	0	72.6102066	71.02403259	72.09109497	72.43717194	73.64842987	73.07164001	71.83154297	70.33121421	70.50094122	69.44421291	71.21110188	70.18688779	70.5030809	72.29990786	68.25543976
AntagonistData	2008-03-21 14:54:35.359 GMT-07:00	25.31838036	25.34767723	0	0.014648661	0.073243305	0.073243305	0.014648661	25.69924545	25.68459511	0	0	0.29297322	0.14648661	0.014648661	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.095392764	3.88E-04	0.008207792	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.33226953	13.97579731	0.219729915	0.439459831	0	0	72.6102066	71.02403259	72.09109497	72.43717194	73.64842987	73.07164001	71.83154297	70.33121421	70.50094122	69.44421291	71.20972962	70.18853815	70.50497169	72.29889214	68.45731354
AntagonistData	2008-03-21 14:54:35.875 GMT-07:00	25.31838036	25.31838036	0	0.014648661	0.14648661	0.073243305	0	25.71389389	25.69924545	0	0	0.219729915	0.219729915	0.014648661	22.05081177	22.05081177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	0.008207792	0.004297693	-0.045370823	11.27491509	13.40930733	0.219729915	0.439459831	0	0	72.6102066	71.02403259	72.06225586	72.46601105	73.64842987	73.07164001	71.83154297	70.42187841	70.44064153	69.44421291	71.21335064	70.18905932	70.51080541	72.29818904	68.45731354
