ExperimentControl	443	"StartTime = Mar 21, 2008 15:11:08.119"	"EndTime = Mar 21, 2008 15:12:30.230"	OperationCode = D1B1L1	OperationMode = 34	TestArticleName = none	"Comments = ""Bat1->Load Bank 1, loads A-D. 3 faults: inject one, wait 15s, inject last two simultaneously.   EXPERIMENT STOPPED"""	FaultType = incipient/abrupt	FaultMode = drift2/stk-10/stk1	FaultLocation = IT281/ST516/EY244	FaultInjection = software																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-21 15:11:08.372 GMT-07:00	25.27443314	25.27443314	0	0.014648661	0.073243305	0.14648661	0	25.71389389	25.69924545	0.014648661	0	0.219729915	0.219729915	0	21.93362236	21.93362236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	12.00400898	14.36452469	0.439459831	0.439459831	0	0	72.69672394	71.08171082	72.14877319	72.49485016	73.61959076	73.07164001	71.83154297	73.32317267	72.82251947	71.8168689	71.34042477	70.35586389	70.68059659	72.36131393	68.39963531
AntagonistData	2008-03-21 15:11:08.872 GMT-07:00	25.27443314	25.28908157	0	0.029297322	0.14648661	0.14648661	0.014648661	25.71389389	25.69924545	0.029297322	0.014648661	0.219729915	0.219729915	0	21.93362236	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.876705	14.05836387	0.219729915	0.439459831	0	0	72.69672394	71.08171082	72.14877319	72.49485016	73.67726898	73.10047913	71.80270386	73.32317267	72.82251947	71.8168689	71.34199786	70.35452836	70.67748298	72.35673729	68.22659302
AntagonistData	2008-03-21 15:11:09.372 GMT-07:00	25.27443314	25.27443314	0	0.014648661	0.073243305	0.073243305	0	25.71389389	25.71389389	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.84527354	14.08769113	0.219729915	0.439459831	0	0	72.69672394	71.0528717	72.14877319	72.46601105	73.67726898	73.10047913	71.80270386	73.32317267	72.82251947	71.8168689	71.34616699	70.35505263	70.67608175	72.35458083	68.22659302
AntagonistData	2008-03-21 15:11:09.872 GMT-07:00	25.27443314	25.28908157	0.029297322	0.029297322	0.073243305	0.073243305	0.014648661	25.71389389	25.69924545	0.014648661	0	0.29297322	0.219729915	0	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.79178926	14.07649453	0.219729915	0.439459831	0	0	72.69672394	71.0528717	72.14877319	72.46601105	73.64842987	73.10047913	71.80270386	73.32317267	72.82251947	71.78720334	71.34533242	70.3539648	70.6794988	72.35836618	68.31311798
AntagonistData	2008-03-21 15:11:10.372 GMT-07:00	25.27443314	25.28908157	0	0.014648661	0.073243305	0.073243305	0	25.71389389	25.71389389	0	0	0.29297322	0.14648661	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.60248827	13.95696246	0.219729915	0.659189746	0	0	72.66788483	71.08171082	72.09109497	72.49485016	73.64842987	73.10047913	71.80270386	73.26272987	72.82251947	71.78720334	71.34670698	70.35609768	70.6820011	72.35648806	68.31311798
AntagonistData	2008-03-21 15:11:10.872 GMT-07:00	25.27443314	25.28908157	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.71389389	25.69924545	0.029297322	0.014648661	0.29297322	0.219729915	0.014648661	21.96292114	21.96292114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	0.008207792	0.012117892	-0.061011221	-0.014090026	-0.003522506	-0.003522506	-0.045370823	11.81476267	13.9832703	0.219729915	0.439459831	0	0	72.66788483	71.08171082	72.09109497	72.49485016	73.67726898	73.10047913	71.83154297	73.26272987	72.82251947	71.75754563	71.34855409	70.35375505	70.67791133	72.35717049	68.31311798
AntagonistData	2008-03-21 15:11:11.372 GMT-07:00	25.2597847	25.27443314	0	0.014648661	0.073243305	0.073243305	0.014648661	25.71389389	25.69924545	0.014648661	0	0.219729915	0.219729915	0	21.96292114	21.96292114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.75058463	13.5859714	0.219729915	0.439459831	0	0	72.66788483	71.0528717	72.14877319	72.49485016	73.67726898	73.10047913	71.83154297	73.23250847	72.82251947	71.75754563	71.34012222	70.35220696	70.67761697	72.36007982	68.39963531
AntagonistData	2008-03-21 15:11:11.888 GMT-07:00	25.27443314	25.2597847	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.71389389	25.71389389	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	21.96292114	21.96292114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	3.88E-04	0.008207792	-0.045370823	11.50130162	13.63373618	0.219729915	0.439459831	0	0	72.66788483	71.0528717	72.14877319	72.43717194	73.64842987	73.10047913	71.86038208	73.23250847	72.76221978	71.78720334	71.33700164	70.35216167	70.66944785	72.3598706	68.39963531
AntagonistData	2008-03-21 15:11:12.372 GMT-07:00	25.27443314	25.27443314	0.014648661	0.014648661	0.14648661	0.073243305	0	25.71389389	25.69924545	0.029297322	0.014648661	0.219729915	0.219729915	0	21.96292114	21.96292114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.3723416	13.47774745	0.219729915	0.439459831	0	0	72.69672394	71.11054993	72.14877319	72.43717194	73.64842987	73.10047913	71.86038208	73.23250847	72.76221978	71.78720334	71.34105795	70.35705603	70.67546104	72.35182336	68.25543976
AntagonistData	2008-03-21 15:11:12.888 GMT-07:00	25.27443314	25.27443314	0	0.014648661	0.073243305	0.073243305	0	25.71389389	25.69924545	0	0	0.219729915	0.14648661	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	0.008207792	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.47293621	13.70039491	0.219729915	0.439459831	0	0	72.69672394	71.11054993	72.14877319	72.49485016	73.64842987	73.07164001	71.86038208	73.23250847	72.76221978	71.72788792	71.3490488	70.3546114	70.67711961	72.3568019	68.25543976
AntagonistData	2008-03-21 15:11:13.388 GMT-07:00	25.27443314	25.27443314	0.029297322	0.014648661	0.14648661	0.14648661	0	25.71389389	25.69924545	0	0	0.219729915	0.219729915	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.33060655	13.5851045	0.439459831	0.439459831	0	0	72.66788483	71.08171082	72.14877319	72.49485016	73.64842987	73.07164001	71.86038208	73.23250847	72.76221978	71.72788792	71.3467687	70.35704303	70.67682288	72.35737347	68.14007568
AntagonistData	2008-03-21 15:11:13.903 GMT-07:00	25.27443314	25.27443314	0	0.014648661	0.14648661	0.073243305	0	25.71389389	25.69924545	0.014648661	0.014648661	0.219729915	0.219729915	0	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.045370823	11.57659375	13.86188438	0.439459831	0.439459831	0	0	72.66788483	71.08171082	72.09109497	72.46601105	73.67726898	73.07164001	71.86038208	73.23250847	72.67177023	71.75754563	71.33966755	70.35499815	70.677596	72.35142479	68.14007568
AntagonistData	2008-03-21 15:11:14.372 GMT-07:00	25.2597847	25.28908157	0	0.014648661	0.073243305	0.073243305	0	25.71389389	25.69924545	0	0	0.29297322	0.219729915	0	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.016027992	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.47755151	13.82155839	0.219729915	0.439459831	0	0	72.66788483	71.08171082	72.09109497	72.46601105	73.67726898	73.07164001	71.86038208	73.23250847	72.67177023	71.75754563	71.34216082	70.35569079	70.67939277	72.36438944	68.45731354
AntagonistData	2008-03-21 15:11:14.872 GMT-07:00	25.27443314	25.27443314	0	0.029297322	0.073243305	0.073243305	0	25.71389389	25.69924545	0.014648661	0	0.219729915	0.219729915	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.34920884	13.78481812	0.219729915	0.439459831	0	0	72.66788483	71.08171082	72.11993408	72.49485016	73.61959076	73.07164001	71.86038208	73.20228707	72.76221978	71.75754563	71.34361322	70.35603433	70.67882154	72.3589138	68.45731354
AntagonistData	2008-03-21 15:11:15.388 GMT-07:00	25.27443314	25.2597847	0.014648661	0.014648661	0.073243305	0.073243305	0	25.71389389	25.69924545	0	0.014648661	0.219729915	0.219729915	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	0.008207792	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.45204895	13.69046701	0.439459831	0.439459831	0	0	72.66788483	71.08171082	72.11993408	72.49485016	73.61959076	73.07164001	71.86038208	73.20228707	72.76221978	71.75754563	71.33810678	70.35038107	70.67987012	72.35665429	68.42847443
AntagonistData	2008-03-21 15:11:15.888 GMT-07:00	25.27443314	25.2597847	0	0.014648661	0.14648661	0.073243305	0	25.71389389	25.69924545	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.42065227	13.57249004	0.219729915	0.439459831	0	0	72.66788483	71.0528717	72.11993408	72.40833282	73.64842987	73.10047913	71.83154297	73.14184427	72.73206993	71.75754563	71.34400541	70.34958122	70.67605709	72.35603189	68.42847443
AntagonistData	2008-03-21 15:11:16.388 GMT-07:00	25.27443314	25.27443314	0	0.014648661	0.073243305	0.073243305	0	25.69924545	25.68459511	0.043945983	0.014648661	0.219729915	0.219729915	0.014648661	21.96292114	21.94827271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.65168732	13.60451465	0.219729915	0.659189746	0	0	72.66788483	71.0528717	72.11993408	72.40833282	73.64842987	73.10047913	71.83154297	73.14184427	72.73206993	71.75754563	71.34200218	70.34869337	70.67580319	72.35714514	68.14007568
