ExperimentControl	445	"StartTime = Mar 21, 2008 15:55:07.421"	"EndTime = Mar 21, 2008 15:56:28.396"	OperationCode = D1B2L2	OperationMode = 37	TestArticleName = none	"Comments = ""Bat2->Load Bank 2, loads C-F. 3 faults: inject two simultaneously, wait 15s, inject last one."""	FaultType = abrupt	FaultMode = stk-0.3/stk1/invOff	FaultLocation = E235/ESH344A/Inv2	FaultInjection = software																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-21 15:55:07.437 GMT-07:00	25.30373001	25.31838036	0	0.014648661	0.073243305	0.073243305	0	25.6406498	25.6406498	0	0.029297322	0.219729915	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.061011221	11.0821072	12.7223296	0.219729915	0.439459831	0	0	72.69672394	71.08171082	72.1776123	72.52368927	73.70610809	73.15815735	71.86038208	70.6334282	70.74214799	69.80011327	71.43547564	70.36806256	70.69105748	80.0733891	68.86106873
AntagonistData	2008-03-21 15:55:07.953 GMT-07:00	25.30373001	25.30373001	0	0.014648661	0.073243305	0.073243305	0.014648661	25.6406498	25.62600136	0.014648661	0.029297322	0.29297322	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	-0.003522506	-0.061011221	10.95269902	12.67051373	0.219729915	0.439459831	0	0	72.69672394	71.11054993	72.1776123	72.52368927	73.70610809	73.15815735	71.86038208	70.6334282	70.74214799	69.80011327	71.43600711	70.36269867	70.68819478	80.0555505	68.77455139
AntagonistData	2008-03-21 15:55:08.437 GMT-07:00	25.30373001	25.31838036	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.65529823	25.6406498	0.029297322	0.029297322	0.219729915	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	0.004297693	-0.061011221	11.0045149	12.5746412	0.219729915	0.439459831	0	0	72.69672394	71.11054993	72.1776123	72.55252838	73.70610809	73.15815735	71.86038208	70.693871	70.83259754	69.82977098	71.43242478	70.37085916	70.68821815	80.04031182	68.77455139
AntagonistData	2008-03-21 15:55:08.937 GMT-07:00	25.30373001	25.30373001	0	0.014648661	0.073243305	0.14648661	0	25.6406498	25.62600136	0	0.029297322	0.219729915	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.061011221	11.02200604	12.57582481	0.439459831	0.219729915	0	0	72.69672394	71.11054993	72.1776123	72.55252838	73.70610809	73.15815735	71.86038208	70.693871	70.83259754	69.82977098	71.43560489	70.36250256	70.68973044	80.00898799	68.8033905
AntagonistData	2008-03-21 15:55:09.437 GMT-07:00	25.30373001	25.30373001	0	0.014648661	0.073243305	0.073243305	0.014648661	25.65529823	25.6406498	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.061011221	11.06737781	12.67695783	0.219729915	0.439459831	0	0	72.69672394	71.11054993	72.1776123	72.55252838	73.64842987	73.15815735	71.86038208	70.7240924	70.71199814	69.8890864	71.43813129	70.36492074	70.68453121	79.99966518	68.8033905
AntagonistData	2008-03-21 15:55:09.937 GMT-07:00	25.30373001	25.30373001	0.014648661	0.014648661	0.073243305	0.073243305	0	25.65529823	25.62600136	0.014648661	0.043945983	0.219729915	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.061011221	11.15045317	12.80371553	0.219729915	0.219729915	0	0	72.72556305	71.11054993	72.1776123	72.55252838	73.64842987	73.15815735	71.86038208	70.7240924	70.71199814	69.8890864	71.43795736	70.36436114	70.69366883	79.98634725	68.74570465
AntagonistData	2008-03-21 15:55:10.453 GMT-07:00	25.30373001	25.30373001	0	0.014648661	0.14648661	0.073243305	0.014648661	25.65529823	25.6406498	0	0.029297322	0.29297322	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.061011221	11.09817855	12.52361171	0.219729915	0.439459831	0	0	72.72556305	71.11054993	72.1776123	72.49485016	73.70610809	73.15815735	71.86038208	70.693871	70.77229784	69.85942869	71.43491914	70.36629874	70.68985979	79.97607006	68.74570465
AntagonistData	2008-03-21 15:55:10.937 GMT-07:00	25.30373001	25.30373001	0.029297322	0.014648661	0.073243305	0.14648661	0.014648661	25.65529823	25.62600136	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.061011221	10.97396277	12.54089409	0.219729915	0.659189746	0	0	72.69672394	71.11054993	72.1776123	72.49485016	73.70610809	73.15815735	71.86038208	70.693871	70.77229784	69.85942869	71.43987524	70.36723234	70.68918254	79.95945546	68.74570465
AntagonistData	2008-03-21 15:55:11.437 GMT-07:00	25.30373001	25.30373001	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.6406498	25.62600136	0	0.029297322	0.29297322	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.061011221	10.91728193	12.40712932	0.219729915	0.439459831	0	0	72.69672394	71.11054993	72.14877319	72.49485016	73.70610809	73.15815735	71.86038208	70.7240924	70.80244769	69.85942869	71.43981783	70.36667407	70.68648153	79.94484806	68.74570465
AntagonistData	2008-03-21 15:55:11.953 GMT-07:00	25.30373001	25.31838036	0	0.029297322	0.14648661	0.073243305	0	25.65529823	25.62600136	0	0.029297322	0.29297322	0.219729915	0.043945983	21.66994667	21.66994667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.061011221	10.85761557	12.42313894	0.219729915	0.439459831	0	0	72.69672394	71.11054993	72.14877319	72.49485016	73.70610809	73.15815735	71.86038208	70.7240924	70.80244769	69.8890864	71.43565615	70.3759301	70.68708676	79.92780904	68.94758606
