ExperimentControl	447	"StartTime = Mar 28, 2008 15:56:21.194"	"EndTime = Mar 28, 2008 15:57:42.362"	OperationCode = D1B1L1	OperationMode = 34	TestArticleName = none	"Comments = ""B1->L1A-1D. sensor fault, 10sec pause, sensor fault.   EXPERIMENT STOPPED"""	FaultType = abrupt	FaultMode = stuck0	FaultLocation = E161/IT167	FaultInjection = software																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-28 15:56:21.236 GMT-07:00	24.80567551	24.80567551	0	0.014648661	0.14648661	0.14648661	0	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	-0.003522506	3.88E-04	-0.045370823	10.8892349	11.80029362	0.219729915	0.439459831	0	0	72.29297638	70.6202774	72.03341675	72.03341675	73.18699646	72.63904572	71.45662689	70.39165701	70.50094122	69.35523978	71.23403686	70.25286277	70.59279796	71.87087498	67.96704102
AntagonistData	2008-03-28 15:56:21.736 GMT-07:00	24.80567551	24.80567551	0	0.014648661	0.14648661	0.073243305	0	25.05470276	25.05470276	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.15930497	11.79516732	0.439459831	0.439459831	0	0	72.29297638	70.6202774	72.03341675	72.03341675	73.18699646	72.63904572	71.45662689	70.5125426	70.50094122	69.32558207	71.23754109	70.25080481	70.59317767	71.87328544	67.96704102
AntagonistData	2008-03-28 15:56:22.236 GMT-07:00	24.80567551	24.80567551	0.014648661	0.014648661	0.14648661	0.073243305	0	25.05470276	25.05470276	0.014648661	0	0.219729915	0.14648661	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	10.71867403	11.73480056	0.219729915	0.439459831	0	0	72.23529053	70.6202774	72.03341675	72.03341675	73.18699646	72.63904572	71.45662689	70.5125426	70.50094122	69.32558207	71.22635593	70.25899145	70.59711119	71.86926247	68.02471924
AntagonistData	2008-03-28 15:56:22.736 GMT-07:00	24.80567551	24.80567551	0.029297322	0.014648661	0.14648661	0.073243305	0	25.04005432	25.04005432	0.014648661	0	0.219729915	0.219729915	0	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.01016993	11.66602217	0.219729915	0.439459831	0	0	72.23529053	70.6202774	72.06225586	72.00457764	73.18699646	72.63904572	71.45662689	70.39165701	70.47079138	69.35523978	71.22916678	70.25815393	70.59504277	71.87291521	68.02471924
AntagonistData	2008-03-28 15:56:23.236 GMT-07:00	24.80567551	24.80567551	0.014648661	0.014648661	0.14648661	0.073243305	0	25.05470276	25.05470276	0	0	0.219729915	0.14648661	0	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	10.79922407	11.67115115	0.219729915	0.439459831	0	0	72.23529053	70.6202774	72.06225586	72.00457764	73.18699646	72.63904572	71.45662689	70.39165701	70.47079138	69.35523978	71.22050995	70.25299149	70.59605017	71.87203695	67.99588013
AntagonistData	2008-03-28 15:56:23.736 GMT-07:00	24.80567551	24.80567551	0.029297322	0.014648661	0.14648661	0.14648661	0	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	10.61563279	11.59079709	0.219729915	0.439459831	0	0	72.23529053	70.6202774	72.06225586	72.00457764	73.18699646	72.63904572	71.45662689	70.48232121	70.53109107	69.38489749	71.22155695	70.25796622	70.59249901	71.87144273	67.99588013
AntagonistData	2008-03-28 15:56:24.236 GMT-07:00	24.80567551	24.80567551	0	0.029297322	0.073243305	0.14648661	0	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	10.87192358	11.51002701	0	0.439459831	0	0	72.23529053	70.6202774	72.06225586	72.00457764	73.21583557	72.63904572	71.45662689	70.48232121	70.53109107	69.38489749	71.23039278	70.25267082	70.59179098	71.86839073	67.9382019
AntagonistData	2008-03-28 15:56:24.736 GMT-07:00	24.80567551	24.80567551	0	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.045370823	10.80818033	11.88658185	0.219729915	0.439459831	0	0	72.29297638	70.6202774	72.09109497	72.03341675	73.21583557	72.63904572	71.45662689	70.45209981	70.53109107	69.4145552	71.2186595	70.25142881	70.59266767	71.8775986	67.9382019
AntagonistData	2008-03-28 15:56:25.252 GMT-07:00	24.80567551	24.82032585	0	0.014648661	0.14648661	0.073243305	0	25.05470276	25.04005432	0	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	10.76897622	11.57304291	0.219729915	0.439459831	0	0	72.29297638	70.6202774	72.09109497	72.03341675	73.21583557	72.63904572	71.45662689	70.45209981	70.53109107	69.4145552	71.22495629	70.25030705	70.59034546	71.8745576	67.9382019
AntagonistData	2008-03-28 15:56:25.736 GMT-07:00	24.82032585	24.80567551	0.014648661	0.014648661	0.14648661	0.073243305	0	25.05470276	25.04005432	0.029297322	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	10.82344258	11.6781466	0.219729915	0.439459831	0	0	72.23529053	70.6202774	72.06225586	72.03341675	73.21583557	72.63904572	71.45662689	70.48232121	70.50094122	69.4145552	71.22375768	70.25269087	70.59178235	71.8732766	68.14007568
