ExperimentControl	449	"StartTime = Mar 28, 2008 16:04:40.928"	"EndTime = Mar 28, 2008 16:05:33.171"	OperationCode = D1B1L1	OperationMode = 34	TestArticleName = none	"Comments = ""B1->L1A-1D. 2 simultaneous sensor faults."""	FaultType = abrupt	FaultMode = stuck0	FaultLocation = E140/E161	FaultInjection = software																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-28 16:04:41.236 GMT-07:00	24.76173019	24.77637863	0	0.029297322	0.073243305	0.073243305	0.014648661	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.78905748	11.15341431	0.219729915	0.439459831	0	0	72.29297638	70.6202774	72.03341675	72.03341675	73.21583557	72.69672394	71.45662689	89.12921207	85.42534776	83.14628654	71.32539053	70.34305469	70.70256243	72.06794534	68.31311798
AntagonistData	2008-03-28 16:04:41.736 GMT-07:00	24.77637863	24.76173019	0.029297322	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0.029297322	0.014648661	0.29297322	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	3.88E-04	0.004297693	-0.045370823	11.75968477	11.20939571	0.219729915	0.439459831	0	0	72.29297638	70.6202774	72.06225586	72.03341675	73.21583557	72.69672394	71.45662689	89.12921207	85.33489821	83.02764785	71.32304672	70.34320513	70.69981385	72.07176857	68.31311798
AntagonistData	2008-03-28 16:04:42.252 GMT-07:00	24.77637863	24.76173019	0.029297322	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0.029297322	0.014648661	0.29297322	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	0.008207792	0.004297693	-0.045370823	11.65444908	10.95966917	0.219729915	0.439459831	0	0	72.26413727	70.6202774	72.06225586	72.03341675	73.21583557	72.69672394	71.45662689	89.12921207	85.33489821	83.02764785	71.32629512	70.34938437	70.69591779	72.07128568	68.11123657
AntagonistData	2008-03-28 16:04:42.736 GMT-07:00	24.76173019	24.76173019	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.04005432	25.05470276	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	-0.003522506	0.004297693	-0.045370823	11.55331606	10.91219321	0.219729915	0.659189746	0	0	72.26413727	70.64911652	72.09109497	72.09109497	73.24467468	72.69672394	71.45662689	88.97809708	85.21429881	82.96833244	71.323548	70.34846262	70.70272009	72.06971351	68.11123657
AntagonistData	2008-03-28 16:04:43.236 GMT-07:00	24.77637863	24.77637863	0	0.014648661	0.14648661	0.073243305	0.014648661	25.04005432	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	-0.003522506	-0.045370823	11.41128269	10.79751441	0.219729915	0.439459831	0	0	72.32181549	70.64911652	72.09109497	72.09109497	73.24467468	72.69672394	71.45662689	88.97809708	85.21429881	82.96833244	71.32419921	70.34641838	70.70279269	72.06913053	68.25543976
AntagonistData	2008-03-28 16:04:43.736 GMT-07:00	24.77637863	24.77637863	0	0.014648661	0.14648661	0.14648661	0.014648661	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.4475801	10.6136601	0.219729915	0.439459831	0	0	72.32181549	70.64911652	72.11993408	72.09109497	73.18699646	72.69672394	71.45662689	88.76654729	85.09369144	82.87935931	71.32759031	70.34422396	70.69451381	72.0696113	68.25543976
AntagonistData	2008-03-28 16:04:44.236 GMT-07:00	24.77637863	24.76173019	0.029297322	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0.029297322	0.014648661	0.219729915	0.14648661	0	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.3986301	10.55708786	0.219729915	0.439459831	0	0	72.32181549	70.64911652	72.11993408	72.09109497	73.18699646	72.69672394	71.45662689	88.76654729	85.09369144	82.87935931	71.32833791	70.3519212	70.6952691	72.0656439	68.19775391
AntagonistData	2008-03-28 16:04:44.736 GMT-07:00	24.77637863	24.76173019	0.014648661	0.014648661	0.14648661	0.073243305	0.014648661	25.04005432	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.53993214	10.73492463	0.219729915	0.659189746	0	0	72.29297638	70.64911652	72.11993408	72.03341675	73.18699646	72.69672394	71.45662689	88.6154403	85.0032419	82.73107076	71.32760303	70.34930097	70.70165368	72.07410951	68.19775391
AntagonistData	2008-03-28 16:04:45.236 GMT-07:00	24.77637863	24.77637863	0	0.029297322	0.073243305	0.073243305	0.014648661	25.05470276	25.04005432	0	0.014648661	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.58933703	10.86360341	0.219729915	0.439459831	0	0	72.29297638	70.64911652	72.11993408	72.03341675	73.21583557	72.69672394	71.45662689	88.6154403	85.0032419	82.73107076	71.33117889	70.35193263	70.70388327	72.07653799	68.08239746
AntagonistData	2008-03-28 16:04:45.736 GMT-07:00	24.77637863	24.76173019	0.029297322	0.014648661	0.14648661	0.073243305	0.014648661	25.04005432	25.05470276	0.014648661	0.014648661	0.29297322	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.745631	11.32659645	0.219729915	0.439459831	0	0	72.29297638	70.67795563	72.11993408	72.06225586	73.21583557	72.69672394	71.45662689	88.49454671	84.85249265	82.73107076	71.3292225	70.34090545	70.69897926	72.07105813	68.08239746
AntagonistData	2008-03-28 16:04:46.236 GMT-07:00	24.76173019	24.77637863	0.014648661	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0.014648661	0	0.29297322	0.219729915	0.014648661	23.72167587	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.85504572	10.9838433	0.219729915	0.219729915	0	0	72.29297638	70.67795563	72.11993408	72.06225586	73.18699646	72.69672394	71.45662689	88.49454671	84.85249265	82.73107076	71.32520791	70.34032175	70.70237247	72.07432975	68.08239746
UserCommand	2008-03-28 16:04:46.329 GMT-07:00	EY141_CL	1																																																																															
AntagonistCommand	2008-03-28 16:04:46.329 GMT-07:00	EY141_CL	1																																																																															
AntagonistData	2008-03-28 16:04:46.736 GMT-07:00	24.76173019	24.77637863	24.76173019	0.014648661	0.14648661	0.14648661	0	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0	23.72167587	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	-0.003522506	-0.003522506	-0.045370823	11.88301759	11.1946818	0.439459831	0.439459831	0	0	72.29297638	70.64911652	72.11993408	72.06225586	73.18699646	72.69672394	71.45662689	88.37366111	84.8223428	82.73107076	71.32400138	70.34602217	70.70291947	72.07498397	68.16891479
AntagonistData	2008-03-28 16:04:47.236 GMT-07:00	24.77637863	24.77637863	24.76173019	0.014648661	0.073243305	0.073243305	0.014648661	25.05470276	25.04005432	0	0	0.29297322	0.219729915	0	23.72167587	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	12.0245146	11.53508225	0.219729915	0.439459831	0	0	72.29297638	70.64911652	72.11993408	72.03341675	73.24467468	72.69672394	71.45662689	88.37366111	84.8223428	82.64209763	71.33036958	70.3388344	70.70665456	72.06922899	68.16891479
AntagonistData	2008-03-28 16:04:47.736 GMT-07:00	24.77637863	24.77637863	24.77637863	0.029297322	0.073243305	0.14648661	0.014648661	25.05470276	25.04005432	0.014648661	0	0.219729915	0.14648661	0	23.72167587	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.82163084	11.3034989	0.219729915	0.439459831	0	0	72.29297638	70.6202774	72.09109497	72.03341675	73.24467468	72.69672394	71.45662689	88.22255412	84.55098619	82.64209763	71.33116235	70.34327144	70.7024584	72.07759481	68.05355835
AntagonistData	2008-03-28 16:04:48.252 GMT-07:00	24.77637863	24.77637863	24.77637863	0.029297322	0.073243305	0.073243305	0.014648661	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	0.008207792	0.012117892	-0.061011221	-0.014090026	3.88E-04	-0.003522506	-0.045370823	11.88354364	11.49492456	0.219729915	0.439459831	0	0	72.29297638	70.6202774	72.09109497	72.06225586	73.24467468	72.69672394	71.45662689	88.22255412	84.55098619	82.55311666	71.33032008	70.33960501	70.70087231	72.07578453	68.05355835
UserCommand	2008-03-28 16:04:48.563 GMT-07:00	EY160_CL	1																																																																															
AntagonistCommand	2008-03-28 16:04:48.563 GMT-07:00	EY160_CL	1																																																																															
AntagonistData	2008-03-28 16:04:48.736 GMT-07:00	24.76173019	24.77637863	24.77637863	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.05470276	0.043945983	0.014648661	0.219729915	0.219729915	0	23.73632431	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	12.0141999	11.60225671	0.219729915	0.659189746	0	0	72.29297638	70.67795563	72.09109497	72.06225586	73.24467468	72.72556305	71.51430511	88.13188992	84.55098619	82.55311666	71.322812	70.34079786	70.70475812	72.08063827	68.02471924
AntagonistData	2008-03-28 16:04:49.236 GMT-07:00	24.76173019	24.77637863	24.77637863	24.76173019	0.073243305	0.073243305	24.77637863	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	10.73386434	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.88443471	11.26592393	0.219729915	0.439459831	0	0	72.29297638	70.67795563	72.09109497	72.03341675	73.24467468	72.72556305	71.51430511	88.13188992	84.55098619	82.46414353	71.32741707	70.34189717	70.70064375	72.07129119	68.02471924
AntagonistData	2008-03-28 16:04:49.736 GMT-07:00	24.76173019	24.74708176	24.76173019	24.76173019	0.073243305	0.073243305	24.77637863	25.04005432	25.04005432	0.014648661	0	0.29297322	0.219729915	0	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.752293866	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.99085775	11.2923955	0.219729915	0.439459831	0	0	72.29297638	70.64911652	72.09109497	72.03341675	73.24467468	72.72556305	71.51430511	87.98077493	84.55098619	82.46414353	71.32607638	70.34119254	70.70598654	72.06820452	67.70748138
AntagonistData	2008-03-28 16:04:50.236 GMT-07:00	24.76173019	24.73243332	24.74708176	24.73243332	0.14648661	0.073243305	24.76173019	25.05470276	25.02540588	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.564607629	0.54896723	-0.003522506	0.012117892	-0.076653075	-0.014090026	3.88E-04	-0.003522506	-0.045370823	12.0111055	11.56306087	0.219729915	0.439459831	0	0	72.29297638	70.64911652	72.09109497	72.09109497	73.24467468	72.72556305	71.51430511	87.98077493	84.43038679	82.40482811	71.3253425	70.34398986	70.70606246	72.07196127	67.70748138
AntagonistData	2008-03-28 16:04:50.736 GMT-07:00	24.76173019	24.74708176	24.74708176	24.74708176	0.14648661	0.073243305	24.74708176	25.05470276	25.02540588	0.014648661	0	0.219729915	0.219729915	0	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.736653467	0.81485546	-0.003522506	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.87329641	11.29571551	0.219729915	0.439459831	0	0	72.32181549	70.64911652	72.09109497	72.09109497	73.24467468	72.72556305	71.51430511	87.98077493	84.43038679	82.40482811	71.33028607	70.3482468	70.7088252	72.06718239	67.64980316
AntagonistData	2008-03-28 16:04:51.236 GMT-07:00	24.73243332	24.67383766	24.67383766	24.67383766	0.14648661	0.14648661	24.70313644	25.05470276	25.02540588	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1.534318156	1.440475765	3.88E-04	0.008207792	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.90308799	11.37583071	0.219729915	0.659189746	0	0	72.32181549	70.64911652	72.09109497	72.03341675	73.21583557	72.72556305	71.51430511	87.82966794	84.33993724	82.31585498	71.32904933	70.34319546	70.70871785	72.07353065	67.64980316
AntagonistData	2008-03-28 16:04:51.736 GMT-07:00	24.76173019	24.74708176	24.74708176	24.74708176	0.073243305	0.073243305	24.74708176	25.05470276	25.04005432	0.029297322	0.014648661	0.219729915	0.219729915	0	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.767934264	-0.003522506	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.86099939	11.45533428	0.219729915	0.439459831	0	0	72.29297638	70.64911652	72.09109497	72.03341675	73.21583557	72.72556305	71.51430511	87.82966794	84.33993724	82.31585498	71.32947014	70.3470777	70.70362653	72.06636853	67.56328583
AntagonistData	2008-03-28 16:04:52.252 GMT-07:00	24.76173019	24.74708176	24.74708176	24.74708176	0.219729915	0.219729915	24.74708176	25.05470276	25.02540588	0.029297322	0	0.219729915	0.14648661	0.014648661	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.564607629	0.595888426	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.92628517	11.43811121	649.672699	0.439459831	0	0	72.29297638	70.64911652	72.09109497	72.06225586	73.24467468	72.72556305	71.51430511	87.70878234	84.2494877	82.22688185	71.32893064	70.34853998	70.70719485	72.06404614	67.56328583
AntagonistData	2008-03-28 16:04:52.736 GMT-07:00	24.73243332	24.71778488	24.71778488	24.70313644	0.29297322	0.219729915	24.73243332	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1.393554569	0.674091873	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.94616501	11.26324001	634.2916012	0.439459831	0	0	72.29297638	70.64911652	72.09109497	72.06225586	73.24467468	72.72556305	71.51430511	87.70878234	84.2494877	82.22688185	71.33163771	70.34760545	70.70570112	72.06812734	67.64980316
AntagonistData	2008-03-28 16:04:53.236 GMT-07:00	24.74708176	24.70313644	24.71778488	24.70313644	0.29297322	0.219729915	24.73243332	25.0693531	25.02540588	0.014648661	0	0.219729915	0.219729915	0	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1.065103291	1.190227934	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.86966522	11.37082071	634.7310543	0.439459831	0	0	72.32181549	70.6202774	72.03341675	72.03341675	73.24467468	72.72556305	71.51430511	87.58789675	84.21933785	82.16756643	71.33170468	70.35104859	70.70824399	72.06979667	67.64980316
AntagonistData	2008-03-28 16:04:53.736 GMT-07:00	24.74708176	24.71778488	24.71778488	24.70313644	0.219729915	0.219729915	24.73243332	25.04005432	25.04005432	0.029297322	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1.112025941	1.174587535	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.83115877	11.13830325	635.1705074	0.439459831	0	0	72.32181549	70.6202774	72.03341675	72.03341675	73.18699646	72.72556305	71.51430511	87.58789675	84.21933785	82.16756643	71.32698264	70.35487261	70.70658011	72.07099917	67.62096405
