ExperimentControl	450	"StartTime = Mar 28, 2008 16:13:13.333"	"EndTime = Mar 28, 2008 16:14:28.475"	OperationCode = D1B1L1	OperationMode = 34	TestArticleName = none	"Comments = ""B1->L1A-1D. 2 simultaneous faults, 1 HW inverter fault and 1 load sensor stuck at fault (stuck at pre-inverter-fault value).   EXPERIMENT STOPPED"""	FaultType = abrupt	FaultMode = stk600/HW	FaultLocation = ST515/Inv1	FaultInjection = software/hardware																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-28 16:13:14.252 GMT-07:00	24.79102707	24.79102707	0	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.007432606	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.61398968	9.252697792	0.219729915	0.439459831	0	0	72.3506546	70.73563385	72.11993408	72.11993408	73.24467468	72.69672394	71.485466	74.16938782	73.57627367	72.46934635	71.47493219	70.56517664	70.8932272	72.23048341	68.45731354
AntagonistData	2008-03-28 16:13:14.768 GMT-07:00	24.77637863	24.79102707	0	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.045370823	11.77767618	9.431495319	0	0.219729915	0	0	72.3506546	70.73563385	72.11993408	72.11993408	73.24467468	72.69672394	71.485466	74.16938782	73.57627367	72.46934635	71.47499125	70.55533127	70.8934482	72.23184328	68.39963531
AntagonistData	2008-03-28 16:13:15.268 GMT-07:00	24.77637863	24.79102707	0	0.014648661	0.14648661	0.073243305	0	25.05470276	25.04005432	0.014648661	0	0.219729915	0.14648661	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.93824743	9.907186333	0.439459831	0.439459831	0	0	72.29297638	70.67795563	72.14877319	72.09109497	73.24467468	72.69672394	71.485466	74.07872363	73.57627367	72.46934635	71.48377525	70.55738746	70.89905926	72.22395177	68.39963531
AntagonistData	2008-03-28 16:13:15.752 GMT-07:00	24.79102707	24.79102707	0	0.014648661	0.14648661	0.14648661	0	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.045370823	12.01860686	10.04723628	0.219729915	0.439459831	0	0	72.29297638	70.67795563	72.14877319	72.09109497	73.24467468	72.69672394	71.485466	74.07872363	73.57627367	72.46934635	71.47479105	70.55794985	70.89744956	72.21695084	68.39963531
AntagonistData	2008-03-28 16:13:16.268 GMT-07:00	24.79102707	24.77637863	0.014648661	0.029297322	0.073243305	0.073243305	0.014648661	25.05470276	25.04005432	0.014648661	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	12.07252693	10.06591104	0.219729915	0.439459831	0	0	72.3506546	70.70679474	72.11993408	72.09109497	73.24467468	72.69672394	71.485466	74.10894502	73.54612382	72.46934635	71.48087599	70.55443055	70.8923216	72.21215305	68.51499176
AntagonistData	2008-03-28 16:13:16.752 GMT-07:00	24.79102707	24.79102707	0	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0.029297322	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	0.004297693	-0.045370823	12.04622446	10.11391306	0.219729915	0.439459831	0	0	72.3506546	70.70679474	72.11993408	72.06225586	73.24467468	72.69672394	71.485466	74.10894502	73.54612382	72.38037322	71.48179965	70.5520179	70.8947449	72.21380106	68.51499176
AntagonistData	2008-03-28 16:13:17.299 GMT-07:00	24.77637863	24.79102707	0	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.99361951	10.09800006	0.219729915	0.659189746	0	0	72.3506546	70.64911652	72.11993408	72.06225586	73.24467468	72.69672394	71.485466	74.07872363	73.57627367	72.38037322	71.4778298	70.55782488	70.89832511	72.21267594	68.42847443
AntagonistData	2008-03-28 16:13:17.768 GMT-07:00	24.79102707	24.77637863	0	0.014648661	0.073243305	0.073243305	0.014648661	25.04005432	25.05470276	0	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.045370823	11.51122952	9.436428323	0.219729915	0.439459831	0	0	72.3506546	70.64911652	72.11993408	72.11993408	73.24467468	72.69672394	71.485466	74.07872363	73.57627367	72.41003093	71.47886359	70.55458779	70.8983261	72.21092091	68.42847443
AntagonistData	2008-03-28 16:13:18.283 GMT-07:00	24.79102707	24.79102707	0.029297322	0.014648661	0.14648661	0.14648661	0	25.05470276	25.04005432	0.014648661	0	0.29297322	0.219729915	0	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.3217496	8.552340427	0.219729915	0.439459831	0	0	72.32181549	70.70679474	72.11993408	72.11993408	73.24467468	72.69672394	71.485466	73.98805943	73.57627367	72.41003093	71.47753057	70.55157273	70.89128394	72.21560637	68.51499176
AntagonistData	2008-03-28 16:13:18.783 GMT-07:00	24.79102707	24.79102707	0	0.029297322	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0.029297322	0.014648661	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.045370823	10.71712682	8.1135685	0.219729915	0.219729915	0	0	72.32181549	70.70679474	72.14877319	72.11993408	73.24467468	72.69672394	71.485466	73.98805943	73.54612382	72.41003093	71.48069172	70.55542947	70.89461882	72.20939393	68.51499176
