ExperimentControl	451	"StartTime = Mar 28, 2008 16:18:37.861"	"EndTime = Mar 28, 2008 16:19:39.743"	OperationCode = D1B1L1	OperationMode = 34	TestArticleName = none	"Comments = ""B1->L1A-1D. Relay stuck open, 10s pause, sensor fault   EXPERIMENT STOPPED"""	FaultType = abrupt	FaultMode = stuck0	FaultLocation = EY171/LT500	FaultInjection = software																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-28 16:18:38.289 GMT-07:00	24.77637863	24.77637863	0	0.029297322	0.073243305	0.073243305	0.014648661	25.04005432	25.04005432	0.014648661	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	-0.003522506	-0.045370823	11.50084262	8.14517273	0.219729915	0.439459831	0	0	72.37949371	70.70679474	72.14877319	72.11993408	73.24467468	72.72556305	71.57198334	75.98269573	75.1742396	73.98191307	71.53284785	70.54735906	70.9001611	72.23526739	68.42847443
AntagonistData	2008-03-28 16:18:38.789 GMT-07:00	24.77637863	24.79102707	0	0.014648661	0.14648661	0.14648661	0	25.05470276	25.05470276	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.016027992	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.38146695	8.057827039	0.219729915	0.439459831	0	0	72.37949371	70.70679474	72.14877319	72.11993408	73.24467468	72.72556305	71.57198334	75.95247433	75.1742396	73.98191307	71.5293374	70.5421648	70.90364552	72.24065077	68.60150909
AntagonistData	2008-03-28 16:18:39.289 GMT-07:00	24.77637863	24.77637863	0	0.014648661	0.14648661	0.14648661	0	25.05470276	25.04005432	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	0.008207792	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.50220416	8.198406879	0.219729915	0.439459831	0	0	72.37949371	70.70679474	72.1776123	72.11993408	73.24467468	72.72556305	71.57198334	75.95247433	75.14408975	73.95225536	71.53510404	70.54189102	70.89924	72.24336972	68.60150909
AntagonistData	2008-03-28 16:18:39.789 GMT-07:00	24.79102707	24.77637863	0	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	0.004297693	-0.045370823	11.51333629	8.086123672	0.219729915	0.439459831	0	0	72.3506546	70.70679474	72.1776123	72.11993408	73.24467468	72.72556305	71.57198334	75.95247433	75.14408975	73.95225536	71.52907825	70.54107167	70.89957013	72.24123156	68.48615265
AntagonistData	2008-03-28 16:18:40.273 GMT-07:00	24.77637863	24.77637863	0	0.014648661	0.14648661	0.073243305	0.014648661	25.04005432	25.05470276	0.029297322	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	-0.003522506	-0.003522506	-0.045370823	11.44789412	8.035818844	0.219729915	0.439459831	0	0	72.3506546	70.70679474	72.14877319	72.11993408	73.24467468	72.72556305	71.57198334	75.95247433	75.14408975	73.89293995	71.53302853	70.54765582	70.9028159	72.24383864	68.48615265
AntagonistData	2008-03-28 16:18:40.789 GMT-07:00	24.77637863	24.77637863	0	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.67005353	8.149947641	0.219729915	0.439459831	0	0	72.32181549	70.70679474	72.14877319	72.11993408	73.24467468	72.72556305	71.57198334	75.95247433	75.14408975	73.89293995	71.53467943	70.54399844	70.89326382	72.24136486	68.48615265
AntagonistData	2008-03-28 16:18:41.398 GMT-07:00	24.77637863	24.77637863	0.014648661	0.014648661	0.14648661	0.073243305	0	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.095392764	3.88E-04	0.008207792	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.46073134	8.073629996	0.219729915	0.439459831	0	0	72.32181549	70.70679474	72.14877319	72.11993408	73.24467468	72.72556305	71.57198334	75.89203154	75.14408975	73.89293995	71.53047147	70.54266279	70.89699998	72.24531827	68.48615265
AntagonistData	2008-03-28 16:18:41.773 GMT-07:00	24.77637863	24.79102707	0.014648661	0.029297322	0.14648661	0.073243305	0	25.04005432	25.04005432	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.39839447	8.136229888	0.219729915	0.439459831	0	0	72.32181549	70.70679474	72.14877319	72.11993408	73.24467468	72.72556305	71.57198334	75.89203154	75.14408975	73.89293995	71.53096127	70.5429487	70.89479806	72.23618425	68.54383087
AntagonistData	2008-03-28 16:18:42.304 GMT-07:00	24.79102707	24.77637863	0	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.63524827	8.223948646	0.219729915	0.439459831	0	0	72.3506546	70.73563385	72.14877319	72.09109497	73.24467468	72.72556305	71.57198334	75.89203154	75.14408975	73.89293995	71.52858317	70.54821797	70.89915878	72.23561737	68.54383087
AntagonistData	2008-03-28 16:18:42.773 GMT-07:00	24.77637863	24.77637863	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.05470276	25.04005432	0	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.7140054	8.191889148	0.219729915	0.439459831	0	0	72.3506546	70.73563385	72.14877319	72.09109497	73.24467468	72.72556305	71.57198334	75.89203154	75.14408975	73.89293995	71.52895081	70.54231412	70.89849234	72.23777757	68.48615265
