ExperimentControl	452	"StartTime = Mar 28, 2008 16:26:25.793"	"EndTime = Mar 28, 2008 16:27:42.813"	OperationCode = D1B1L1	OperationMode = 34	TestArticleName = none	"Comments = ""B1->L1A-1D. HW lightbulb fault, 15s pause, light bulb temp sensor fault   EXPERIMENT STOPPED"""	FaultType = abrupt	FaultMode = BulbOff/stk0	FaultLocation = Bulb1/TE501	FaultInjection = software																																																																							
SensorData	Time	E135	E140	E142	E161	E165	E167	E181	E235	E240	E242	E261	E265	E267	E281	E335	E340	ESH141A	ESH144A	ESH160A	ESH170	ESH171	ESH172	ESH173	ESH174	ESH175	ESH183	ESH184	ESH241A	ESH244A	ESH260A	ESH270	ESH271	ESH272	ESH273	ESH274	ESH275	ESH283	ESH284	ESH341A	ESH344A	FT520	FT525	ISH136	ISH162	ISH166	ISH180	ISH236	ISH262	ISH266	ISH280	ISH336	IT140	IT161	IT167	IT181	IT240	IT261	IT267	IT281	IT340	LT500	LT505	ST165	ST265	ST515	ST516	TE128	TE129	TE133	TE228	TE229	TE328	TE329	TE500	TE501	TE502	TE505	TE506	TE507	TE510	TE511
AntagonistData	2008-03-28 16:26:26.259 GMT-07:00	24.79102707	24.79102707	0	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	0.008207792	0.008207792	-0.076653075	-0.014090026	3.88E-04	-0.003522506	-0.045370823	12.17397894	7.786082374	0.219729915	0.439459831	0	0	72.43717194	70.76448059	72.14877319	72.14877319	73.24467468	72.81208801	71.57198334	74.5320526	73.99837953	72.73626574	71.55176505	70.5679967	70.9243268	72.22458317	68.63034821
AntagonistData	2008-03-28 16:26:26.759 GMT-07:00	24.79102707	24.77637863	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	11.93143438	7.80131338	0.439459831	0.439459831	0	0	72.37949371	70.76448059	72.14877319	72.14877319	73.24467468	72.81208801	71.57198334	74.5320526	73.99837953	72.73626574	71.55433903	70.5661043	70.92279501	72.22485453	68.3707962
AntagonistData	2008-03-28 16:26:27.259 GMT-07:00	24.79102707	24.79102707	0.014648661	0.029297322	0.14648661	0.14648661	0.014648661	25.05470276	25.05470276	0.014648661	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	-0.003522506	-0.045370823	12.16419106	7.789431742	0.219729915	0.439459831	0	0	72.37949371	70.76448059	72.1776123	72.11993408	73.27352142	72.81208801	71.57198334	74.5924954	73.90792999	72.73626574	71.55501793	70.56360424	70.92940421	72.2346248	68.3707962
AntagonistData	2008-03-28 16:26:27.775 GMT-07:00	24.79102707	24.79102707	0	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.98172703	7.758837669	0.219729915	0.439459831	0	0	72.37949371	70.76448059	72.1776123	72.11993408	73.27352142	72.81208801	71.57198334	74.5924954	73.90792999	72.73626574	71.55546722	70.56824343	70.92549343	72.23675059	68.60150909
AntagonistData	2008-03-28 16:26:28.259 GMT-07:00	24.79102707	24.79102707	0.014648661	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0.029297322	0	0.29297322	0.219729915	0	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	12.17033862	7.964263269	0.219729915	0.439459831	0	0	72.37949371	70.7933197	72.23529053	72.14877319	73.27352142	72.81208801	71.57198334	74.5320526	73.90792999	72.67695032	71.55001154	70.55813261	70.92168801	72.23019525	68.60150909
AntagonistData	2008-03-28 16:26:28.759 GMT-07:00	24.79102707	24.79102707	0	0.014648661	0.14648661	0.073243305	0.014648661	25.05470276	25.04005432	0.014648661	0	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	12.09159623	7.718283545	0.219729915	0.659189746	0	0	72.37949371	70.7933197	72.23529053	72.14877319	73.27352142	72.81208801	71.57198334	74.5320526	73.90792999	72.67695032	71.5585456	70.56479262	70.92655805	72.23474173	68.28427887
AntagonistData	2008-03-28 16:26:29.259 GMT-07:00	24.80567551	24.77637863	0.014648661	0.014648661	0.073243305	0.14648661	0.014648661	25.05470276	25.04005432	0.014648661	0.014648661	0.219729915	0.219729915	0	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	11.19245705	7.031597132	0.219729915	0.439459831	0	0	72.37949371	70.70679474	72.20645142	72.14877319	73.27352142	72.81208801	71.57198334	74.4716098	73.90792999	72.70660803	71.55435275	70.56075338	70.92729834	72.23028508	68.28427887
AntagonistData	2008-03-28 16:26:29.775 GMT-07:00	24.77637863	24.79102707	0	0.014648661	0.14648661	0.073243305	0	25.05470276	25.04005432	0.014648661	0.014648661	0.29297322	0.219729915	0.014648661	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	0.008207792	-0.003522506	-0.045370823	11.28843207	5.996219182	0.219729915	0.439459831	0	0	72.37949371	70.70679474	72.20645142	72.14877319	73.27352142	72.81208801	71.57198334	74.4716098	73.90792999	72.70660803	71.54616274	70.55378927	70.92925226	72.24134922	68.34195709
AntagonistData	2008-03-28 16:26:30.259 GMT-07:00	24.79102707	24.79102707	0.014648661	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0.029297322	0.014648661	0.219729915	0.219729915	0	23.73632431	23.72167587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	3.88E-04	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	11.07504679	5.985259817	0.219729915	0.439459831	0	0	72.3506546	70.76448059	72.1776123	72.14877319	73.27352142	72.81208801	71.57198334	74.4716098	73.87778014	72.70660803	71.545121	70.55470949	70.92977111	72.23748419	68.34195709
UserCommand	2008-03-28 16:26:30.414 GMT-07:00	EY141_CL	1																																																																															
AntagonistCommand	2008-03-28 16:26:30.414 GMT-07:00	EY141_CL	1																																																																															
AntagonistData	2008-03-28 16:26:30.759 GMT-07:00	24.79102707	24.80567551	24.79102707	0.014648661	0.073243305	0.073243305	0.014648661	25.04005432	25.04005432	0.043945983	0.014648661	0.29297322	0.29297322	0	23.73632431	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	-0.003522506	0.008207792	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	10.97873847	6.117251831	0.219729915	0.219729915	0	0	72.3506546	70.76448059	72.1776123	72.14877319	73.24467468	72.81208801	71.57198334	74.4716098	73.87778014	72.67695032	71.54858042	70.55473178	70.93081424	72.2374424	68.34195709
AntagonistData	2008-03-28 16:26:31.259 GMT-07:00	24.77637863	24.79102707	24.80567551	0.014648661	0.14648661	0.073243305	0	25.05470276	25.04005432	0.029297322	0	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.076653075	-0.014090026	0.008207792	-0.003522506	-0.045370823	10.84870762	5.899011062	0	0.439459831	0	0	72.37949371	70.70679474	72.20645142	72.14877319	73.24467468	72.81208801	71.57198334	74.5320526	73.90792999	72.67695032	71.54623991	70.55366431	70.93175547	72.24115996	68.42847443
AntagonistData	2008-03-28 16:26:31.775 GMT-07:00	24.79102707	24.79102707	24.79102707	0.014648661	0.073243305	0.073243305	0	25.05470276	25.04005432	0.043945983	0.014648661	0.219729915	0.219729915	0.014648661	23.73632431	23.72167587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	10.83356369	5.864380819	0.219729915	0.439459831	0	0	72.37949371	70.70679474	72.20645142	72.14877319	73.27352142	72.81208801	71.57198334	74.5320526	73.90792999	72.64729261	71.54903356	70.55526405	70.92454111	72.24239008	68.42847443
AntagonistData	2008-03-28 16:26:32.275 GMT-07:00	24.79102707	24.79102707	24.80567551	0.029297322	0.073243305	0.073243305	0	25.04005432	25.04005432	0.014648661	0	0.219729915	0.219729915	0	23.72167587	23.70702744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	10.91057211	5.981273398	0.219729915	0.219729915	0	0	72.37949371	70.70679474	72.20645142	72.14877319	73.27352142	72.7832489	71.60082245	74.4716098	73.90792999	72.64729261	71.54636305	70.5591702	70.92236328	72.24599358	68.42847443
UserCommand	2008-03-28 16:26:32.383 GMT-07:00	EY160_CL	1																																																																															
AntagonistCommand	2008-03-28 16:26:32.383 GMT-07:00	EY160_CL	1																																																																															
AntagonistData	2008-03-28 16:26:32.775 GMT-07:00	24.79102707	24.77637863	24.79102707	24.77637863	0.073243305	0.073243305	24.79102707	25.05470276	25.04005432	0.014648661	0.014648661	0.219729915	0.14648661	0.014648661	23.72167587	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1.612521603	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	10.85840464	6.023351991	0.219729915	0.439459831	0	0	72.37949371	70.70679474	72.1776123	72.1776123	73.30236053	72.75440979	71.60082245	74.4716098	73.84763029	72.67695032	71.54843013	70.55151086	70.92968705	72.2432418	68.42847443
AntagonistData	2008-03-28 16:26:33.259 GMT-07:00	24.79102707	24.79102707	24.79102707	24.77637863	0.073243305	0.073243305	24.79102707	25.05470276	25.02540588	0.029297322	0	0.219729915	0.14648661	0.014648661	23.72167587	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	-0.003522506	-0.045370823	10.79995438	6.13364331	0.219729915	0.439459831	0	0	72.37949371	70.76448059	72.1776123	72.1776123	73.30236053	72.75440979	71.60082245	74.41115901	73.84763029	72.67695032	71.56097479	70.55263318	70.92581567	72.2362018	67.85168457
AntagonistData	2008-03-28 16:26:33.759 GMT-07:00	24.79102707	24.77637863	24.77637863	24.77637863	0.073243305	0.14648661	24.77637863	25.05470276	25.04005432	0.014648661	0	0.219729915	0.219729915	0.014648661	23.72167587	23.72167587	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.54896723	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	10.96886492	6.136670139	0.439459831	0.439459831	0	0	72.37949371	70.76448059	72.20645142	72.14877319	73.24467468	72.75440979	71.60082245	74.41115901	73.87778014	72.64729261	71.54088107	70.54127074	70.92108988	72.23479326	67.85168457
AntagonistData	2008-03-28 16:26:34.259 GMT-07:00	24.76173019	24.71778488	24.71778488	24.71778488	0.073243305	0.14648661	24.74708176	25.0693531	24.99610901	0	0	0.29297322	0.219729915	0	23.72167587	23.692379	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1.018182095	1.205868332	-0.003522506	0.008207792	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	10.84629208	5.864388415	0.219729915	0.439459831	0	0	72.37949371	70.76448059	72.20645142	72.14877319	73.24467468	72.75440979	71.57198334	74.41115901	73.87778014	72.64729261	71.5404161	70.54048829	70.9210451	72.22864983	67.99588013
