Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before,mean_flight_length_per_label,is_recent_flight,flight_length_ratio,flights_per_length,before_after_date_diff
1.0,1.0,-1.0,4723.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0,5134.285568587456,0,4723.0,0.0,-1.0
2.0,1.0,-2.0,4649.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0,5134.285568587456,0,1162.25,0.0006451612903225806,-2.0
7.0,0.0,1.0,3482.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0002871088142405972,0.0
9.0,1.0,-1.0,4979.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0,5134.285568587456,0,4979.0,0.0,-1.0
11.0,0.0,2.0,5204.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00019212295869356388,0.0
20.0,0.0,1.0,4870.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00020529665366454526,0.0
22.0,0.0,1.0,5149.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0001941747572815534,0.0
25.0,0.0,1.0,4216.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00023713540431586437,0.0
32.0,0.0,1.0,5569.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00017953321364452425,0.0
35.0,0.0,1.0,4590.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00021781746896101068,0.0
41.0,0.0,2.0,4823.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00020729684908789387,0.0
44.0,1.0,-2.0,6820.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0,5134.285568587456,0,2273.3333333333335,0.00029321213898255387,-2.0
50.0,0.0,1.0,5912.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00016911889058007779,0.0
51.0,1.0,-2.0,5969.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0,5134.285568587456,0,1193.8,0.0006700167504187605,-2.0
61.0,0.0,1.0,7527.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00013283740701381508,0.0
66.0,1.0,-1.0,5055.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0,5134.285568587456,0,2527.5,0.00019778481012658228,-1.0
69.0,1.0,-2.0,6175.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0,5134.285568587456,0,1235.0,0.0006476683937823834,-2.0
71.0,0.0,1.0,2269.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0004405286343612335,0.0
81.0,0.0,1.0,5414.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00018467220683287164,0.0
82.0,1.0,-2.0,1835.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0,5134.285568587456,0,458.75,0.0016339869281045752,-2.0
90.0,1.0,-1.0,6218.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0,5134.285568587456,0,3109.0,0.00016079755587715066,-1.0
93.0,0.0,2.0,6702.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0001491869312248247,0.0
95.0,0.0,2.0,4260.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0002346866932644919,0.0
99.0,0.0,1.0,1695.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0005896226415094339,0.0
100.0,0.0,1.0,4511.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00022163120567375886,0.0
105.0,0.0,1.0,5570.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0001795009872554299,0.0
107.0,1.0,-1.0,5941.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0,5134.285568587456,0,1980.3333333333333,0.0003365870077415012,-1.0
109.0,0.0,1.0,7110.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.0001406271972999578,0.0
111.0,1.0,-1.0,3449.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0,5134.285568587456,0,3449.0,0.0,-1.0
112.0,0.0,1.0,5991.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0,5134.285568587456,1,2524.074202559605,-0.00016688918558077436,0.0
