Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before
1.0,1.0,-1.0,4723.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
2.0,1.0,-2.0,4649.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
7.0,0.0,1.0,3482.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
9.0,1.0,-1.0,4979.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
11.0,0.0,2.0,5204.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
20.0,0.0,1.0,4870.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
22.0,0.0,1.0,5149.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
25.0,0.0,1.0,4216.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
28.0,1.0,-2.0,9962.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
32.0,0.0,1.0,5569.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
35.0,0.0,1.0,4590.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
41.0,0.0,2.0,4823.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
44.0,1.0,-2.0,6820.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
50.0,0.0,1.0,5912.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
51.0,1.0,-2.0,5969.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
61.0,0.0,1.0,7527.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
66.0,1.0,-1.0,5055.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
69.0,1.0,-2.0,6175.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
71.0,0.0,1.0,2269.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
81.0,0.0,1.0,5414.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
82.0,1.0,-2.0,1835.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
90.0,1.0,-1.0,6218.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
93.0,0.0,2.0,6702.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
95.0,0.0,2.0,4260.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
99.0,0.0,1.0,1695.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
100.0,0.0,1.0,4511.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
